term,category,hot_technology
Predictive toxicology,Analytical or scientific software,FALSE
Premier Software Simtrak Mobility,Data base user interface and query software,FALSE
Presagia Sports,Medical software,FALSE
Presagis Stage,Analytical or scientific software,FALSE
Prescription processing,Medical software,FALSE
Presentation graphics,Presentation software,FALSE
Preventive maintenance,Analytical or scientific software,FALSE
Prezi,Presentation software,FALSE
PricePoint,Data base user interface and query software,FALSE
PricewaterhouseCoopers TeamMate,Financial analysis software,FALSE
Prima Systems OPTIX,Medical software,FALSE
PrimaSoft PC Realtor Organizer Deluxe,Customer relationship management CRM software,FALSE
PrimaSoft PC Small Library Organizer Pro,Library software,FALSE
Primatech AUDITWorks,Compliance software,FALSE
Primavera Cost Management,Financial analysis software,FALSE
Prime Clinical,Accounting software,FALSE
Prime Debt Soft Debt Settlement,Financial analysis software,FALSE
Prime Debt Software Credit Repair,Financial analysis software,FALSE
Primer3,Analytical or scientific software,FALSE
Printed circuit board design,Computer aided design CAD software,FALSE
Printers Software Inc. Presidio,Data base user interface and query software,FALSE
Printing management,Data base user interface and query software,FALSE
Private Practice,Medical software,FALSE
Pro Systems Client Write-Up System for Windows,Accounting software,FALSE
Pro Writing Aid,Word processing software,FALSE
ProCAT Denoto,Word processing software,FALSE
ProCAT Winner,Word processing software,FALSE
ProDoc,Document management software,FALSE
ProEst Software ProEst Estimating,Analytical or scientific software,FALSE
ProForce Highlight Flyer Master,Expert system software,FALSE
ProForce Paralegal Pro-Pack,Desktop publishing software,FALSE
ProForce Ultimate Brochures,Expert system software,FALSE
ProModel,Process mapping and design software,FALSE
ProPay payment processing,Point of sale POS software,FALSE
ProQuest ABI/INFORM Global,Library software,FALSE
ProQuest Archive Finder,Information retrieval or search software,FALSE
ProQuest ERIC,Library software,FALSE
ProQuest Library and Information Science Abstracts LISA,Library software,FALSE
ProQuest Public Affairs Information Service (PAIS) database,Information retrieval or search software,FALSE
ProQuest RefWorks,Data base user interface and query software,FALSE
ProQuest RefWorks RefShare,Web page creation and editing software,FALSE
ProQuest Worldwide Political Science Abstracts,Information retrieval or search software,FALSE
ProSolutions Software Transcend,Data base user interface and query software,FALSE
ProTracker Advantage,Customer relationship management CRM software,FALSE
Probabilistic risk assessment PRA,Analytical or scientific software,FALSE
Procedure scheduling,Medical software,FALSE
Process Heating Assessment and Survey Tool PHAST,Analytical or scientific software,FALSE
Process control,Industrial control software,FALSE
Process reengineering,Project management software,FALSE
Process safety management,Data base user interface and query software,FALSE
Process simulation,Analytical or scientific software,FALSE
ProcessPro Premier,Enterprise resource planning ERP software,FALSE
Procore,Analytical or scientific software,TRUE
Prode PD-Plus,Analytical or scientific software,FALSE
ProducePak Mobile Farm Management,Data base user interface and query software,FALSE
Product development management,Enterprise resource planning ERP software,FALSE
Product lifecycle management PLM,Enterprise resource planning ERP software,FALSE
Product producer databases,Data base user interface and query software,FALSE
Product safety documentation,Compliance software,FALSE
Production Flow Analysis and Simplification Toolkit PFAST,Analytical or scientific software,FALSE
Production control,Industrial control software,FALSE
Production flow analysis,Analytical or scientific software,FALSE
Production planning,Materials requirements planning logistics and supply chain software,FALSE
Production scheduling and planning,Materials requirements planning logistics and supply chain software,FALSE
Production scheduling,Materials requirements planning logistics and supply chain software,FALSE
Production tracking,Inventory management software,FALSE
Professional Solutions ProCare,Enterprise resource planning ERP software,FALSE
Profilers,Program testing software,FALSE
Profit Developers Electronic File Interchange,Accounting software,FALSE
Profitool GearWatch,Inventory management software,FALSE
Profitool software (human resources feature),Human resources software,FALSE
Profitool software (time accounting feature),Time accounting software,FALSE
Progeny Software Progeny Clinical,Medical software,FALSE
Prognosis Innovation Healthcare ChartAccess,Medical software,FALSE
Prognosis Solutions ResolvPRM,Customer relationship management CRM software,FALSE
Program checksumming,Transaction security and virus protection software,FALSE
Program for Energy Analysis of Residences PEAR,Analytical or scientific software,FALSE
Program logging,Data base user interface and query software,FALSE
Programmable logic controller PLC code generation,Development environment software,FALSE
Programmable logic controller PLC,Industrial control software,FALSE
Programming language one PL/I,Development environment software,FALSE
Progress OpenEdge ABL,Development environment software,FALSE
Progress OpenEdge Application Server,Application server software,FALSE
Progress OpenEdge Fathom Replication,Data base management system software,FALSE
Progress Sonic ESB,Enterprise application integration software,FALSE
Progress WebSpeed Workshop,Web platform development software,FALSE
Project Manager Online ProjectManager.com,Project management software,FALSE
Project analysis and costing,Project management software,FALSE
Project data integration,Project management software,FALSE
Project estimation,Project management software,FALSE
Project planning,Project management software,FALSE
Project portfolio management PPM,Enterprise resource planning ERP software,FALSE
Project scheduling,Project management software,FALSE
Project visualization,Computer aided design CAD software,FALSE
Project-Open,Project management software,FALSE
Project.net,Enterprise resource planning ERP software,FALSE
ProjectLibre,Project management software,FALSE
ProjectSend,Internet protocol IP multimedia subsystem software,FALSE
Projecturf,Project management software,FALSE
Prolog,Development environment software,FALSE
Promine,Computer aided design CAD software,FALSE
Promium Element DataSystem LIMS,Analytical or scientific software,FALSE
Proof of delivery POD,Materials requirements planning logistics and supply chain software,FALSE
Propeller Multimedia React2,Medical software,FALSE
Propellerhead Software Reason,Music or sound editing software,FALSE
Property Boulevard,Data base user interface and query software,FALSE
Property Insight TitlePoint,Data base user interface and query software,FALSE
Property Solutions International ResidentPortal,Data base user interface and query software,FALSE
"Property damage, bodily injury, and liability estimation",Financial analysis software,FALSE
Property management system PMS,Data base user interface and query software,FALSE
Property records databases,Data base user interface and query software,FALSE
Property scheduling,Calendar and scheduling software,FALSE
PropertyBoss Solutions PropertyBoss,Data base user interface and query software,FALSE
PropertyInfo SureClose,Document management software,FALSE
PropertyView Solutions Remanage,Data base user interface and query software,FALSE
Propertyware,Data base user interface and query software,FALSE
Proportional integral derivative control PID,Analytical or scientific software,FALSE
Proscan,Analytical or scientific software,FALSE
Prosys Open Platform Communications unified architecture,Industrial control software,FALSE
ProtScale,Analytical or scientific software,FALSE
Protein Explorer,Analytical or scientific software,FALSE
Protein databases,Analytical or scientific software,FALSE
Proteus Engineering FastShip,Analytical or scientific software,FALSE
Protiviti Governance Portal,Compliance software,FALSE
Provalis Research Simstat,Analytical or scientific software,FALSE
Proxima Controller,Music or sound editing software,FALSE
PsyScope,Analytical or scientific software,FALSE
PsyScript,Analytical or scientific software,FALSE
PsyTech Solutions Epitomax,Medical software,FALSE
PsychAssistant,Medical software,FALSE
PsychNotesEMR,Medical software,FALSE
PsychSim,Computer based training software,FALSE
Psyche Systems LabWeb,Medical software,FALSE
Psyche Systems Systematic Blood Bank,Medical software,FALSE
Psyche Systems WindoPath,Medical software,FALSE
Psychiatric assessment,Medical software,FALSE
Psychiatric information databases,Data base user interface and query software,FALSE
Psychological testing,Medical software,FALSE
Psychology Software Tools E-Prime,Analytical or scientific software,FALSE
Psychology Software Tools MRI Simulator,Analytical or scientific software,FALSE
Psychometric testing,Analytical or scientific software,FALSE
Psychophysics Toolbox,Analytical or scientific software,FALSE
Psychrometric chart,Analytical or scientific software,FALSE
Psychsoft !Observe,Data base user interface and query software,FALSE
Psyquel,Medical software,FALSE
PuTTY,Access software,FALSE
Public Access to Court Electronic Records (PACER),Information retrieval or search software,FALSE
Public access to electronic court records PACER,Information retrieval or search software,FALSE
Public genomic databases,Analytical or scientific software,FALSE
Pulsar,Analytical or scientific software,FALSE
Pulse Software ChiroPulse 365,Medical software,FALSE
Pulse Train Bellview CAPTI,Data base user interface and query software,FALSE
Pulse Train Bellview Scan,Optical character reader OCR or scanning software,FALSE
Pulse Train Bellview TCI,Data base user interface and query software,FALSE
Pulse Train Bellview Web,Web page creation and editing software,FALSE
Pulse Train Pulser Web,Presentation software,FALSE
Pulse Train Visual QSL,Data base user interface and query software,FALSE
Purchasing,Procurement software,FALSE
PurchasingNet eProcurement,Procurement software,FALSE
Pure Data PD,Music or sound editing software,FALSE
Purkinje Dossier,Data base user interface and query software,FALSE
PySpark,Data base user interface and query software,FALSE
PyTorch,Data base user interface and query software,TRUE
Python Experimental Economics Toolkit PEET,Analytical or scientific software,FALSE
Python Tools for Visual Studio (PTVS),Object or component oriented development software,FALSE
Pyxis MedStation,Inventory management software,FALSE
Q-Chem,Analytical or scientific software,FALSE
QA Software QMS Materials Management,Materials requirements planning logistics and supply chain software,FALSE
QAD Adaptive ERP,Enterprise resource planning ERP software,FALSE
QAD Marketing Automation,Customer relationship management CRM software,FALSE
QAD shielding computer code,Analytical or scientific software,FALSE
QGIS,Geographic information system,FALSE
QMC CM4D,Data base user interface and query software,FALSE
QMSoftware Receivables Management,Accounting software,FALSE
QPSMR Limited CATI,Data base user interface and query software,FALSE
QPSMR Limited Input,Data base user interface and query software,FALSE
QPSMR Limited Insight,Data base user interface and query software,FALSE
QPSMR Limited Reflect,Presentation software,FALSE
QPuncture II,Medical software,FALSE
QSM SLIM Suite,Data base user interface and query software,FALSE
QSR International NVivo,Data base user interface and query software,FALSE
QUALCOMM Eudora,Electronic mail software,FALSE
QUALCOMM QTRACS,Analytical or scientific software,FALSE
QUALCOMM ViaWeb,Analytical or scientific software,FALSE
QUALCOMM eXtensible Diagnostic Monitor QxDM,Analytical or scientific software,FALSE
QUMAS quality management solution,Compliance software,FALSE
Qarbon ViewletBuilder Professional,Computer based training software,FALSE
Qaulis Research The Ethonograph,Analytical or scientific software,FALSE
Qchart,Medical software,FALSE
Qlik Tech QlikView,Business intelligence and data analysis software,FALSE
Qlik,Business intelligence and data analysis software,FALSE
Qpalm Acupuncture,Medical software,FALSE
Qqest TimeForce,Time accounting software,FALSE
Quad Software Grome,Graphics or photo imaging software,FALSE
Quadkey HR Server,Human resources software,FALSE
QuadraMed Affinity Healthcare Information,Medical software,FALSE
Quadralay WebWorks ePublisher,Web page creation and editing software,FALSE
Quadstone Paramics,Analytical or scientific software,FALSE
QualCorp FormsPlus,Enterprise resource planning ERP software,FALSE
Qualitative analysis,Analytical or scientific software,FALSE
Qualitech Solutions Dynamic Scheduling,Calendar and scheduling software,FALSE
Qualitica RentBoss,Data base user interface and query software,FALSE
Quality Plans & Software HVAC Calculator,Analytical or scientific software,FALSE
Quality Positioning Services Fledermaus,Analytical or scientific software,FALSE
Quality Software Systems LabHealth,Medical software,FALSE
Quality Systems Incorporated Safety Tagging,Data base user interface and query software,FALSE
Quality Systems International WinLIMS,Analytical or scientific software,FALSE
Quality control,Medical software,FALSE
Qualtrics Insight,Project management software,FALSE
Qualtrics Research Suite,Analytical or scientific software,FALSE
Qualys Cloud Platform,Cloud-based protection or security software,FALSE
Quantifying marketability discount QMD modeling,Financial analysis software,FALSE
Quantitative Micro Software EViews,Analytical or scientific software,FALSE
Quantrax Intelec,Customer relationship management CRM software,FALSE
Quantum Software Solutions Quantum Project Manager,Project management software,FALSE
QuantumWise Atomistix ToolKit,Analytical or scientific software,FALSE
Quark Immedia,Web page creation and editing software,FALSE
Quark enterprise publishing,Desktop publishing software,FALSE
QuarkXPress,Desktop publishing software,FALSE
Quest BigBrother,Network monitoring software,FALSE
Quest Central,Data base management system software,FALSE
Quest Erwin Data Modeler,Metadata management software,FALSE
Quest Foglight,Network monitoring software,FALSE
Quest SQL Optimizer for Oracle,Development environment software,FALSE
Quest SharePlex,Data base management system software,FALSE
QuestSuite Professional,Industrial control software,FALSE
QuestaWeb TradeMaster QW,Compliance software,FALSE
Questek Humanis,Human resources software,FALSE
Question interchange profile QUIP,Analytical or scientific software,FALSE
QuestionMark,Human resources software,FALSE
QuestionPro,Analytical or scientific software,FALSE
Questionmark Perception,Analytical or scientific software,FALSE
Questor Systems ARGUS,Data base user interface and query software,FALSE
Questor Systems QScan32,Data base user interface and query software,FALSE
Quick Notes PDQ Podiatry,Medical software,FALSE
Quick Notes QNotes Office EMR,Medical software,FALSE
Quick Plant Energy Profiler,Analytical or scientific software,FALSE
QuickBase business management,Data base user interface and query software,FALSE
QuickCogo,Analytical or scientific software,FALSE
QuickPen DuctDesigner 3D,Computer aided design CAD software,FALSE
QuickQuote QuickFile Agency Management,Enterprise resource planning ERP software,FALSE
Quicken,Accounting software,FALSE
QuikDraw Loan Management,Financial analysis software,FALSE
Quizlet,Computer based training software,FALSE
Quorum PGAS,Data base user interface and query software,FALSE
Quote Software QuoteExpress,Analytical or scientific software,FALSE
QuoteWerks,Financial analysis software,FALSE
QwikQuote,Financial analysis software,FALSE
RADAN Radbend,Computer aided manufacturing CAM software,FALSE
RAE Systems HazRAE,Data base user interface and query software,FALSE
RAT-STATS,Analytical or scientific software,FALSE
RBS GoTour Online,Customer relationship management CRM software,FALSE
RCL Software Media Library Manager,Library software,FALSE
RCS GSelector,Calendar and scheduling software,FALSE
RCS NexGen Digital,Facilities management software,FALSE
REDCap Research Electronic Data Capture,Analytical or scientific software,FALSE
REDUCE,Analytical or scientific software,FALSE
REI Wise Commercial,Financial analysis software,FALSE
RESRAD,Analytical or scientific software,FALSE
REST Assured,Program testing software,FALSE
REScheck,Analytical or scientific software,FALSE
RETScreen,Analytical or scientific software,FALSE
RFID,Inventory management software,FALSE
RFMS Schedule Pro,Calendar and scheduling software,FALSE
RGA AURA,Financial analysis software,FALSE
RGA Facultative Application Console,Financial analysis software,FALSE
RIETAN,Analytical or scientific software,FALSE
RISA Technologies RISA-3D,Computer aided design CAD software,FALSE
RISA Technologies RISAMasonry,Project management software,FALSE
RISC Virtual Training Assistant,Computer based training software,FALSE
RIVERMorph,Data base user interface and query software,FALSE
RIVS automated interview,Human resources software,FALSE
RMS Technology Flitesoft,Data base user interface and query software,FALSE
RNA sequencing,Analytical or scientific software,FALSE
RPIS Silent CMA,Financial analysis software,FALSE
RPIS Silent Flyer,Expert system software,FALSE
RSA RadCalc,Analytical or scientific software,FALSE
RSAC Riparian Mapping,Map creation software,FALSE
RSI ENVI,Analytical or scientific software,FALSE
RSI interactive data language IDL,Analytical or scientific software,FALSE
RSM McGladrey Advanced Practice Solutions Paperless Audit,Financial analysis software,FALSE
RSM McGladrey Auditor Assistant,Financial analysis software,FALSE
RSM McGladrey Clear Pay,Time accounting software,FALSE
RSS Solutions NaView,Materials requirements planning logistics and supply chain software,FALSE
RTA Fleet Management,Industrial control software,FALSE
RTI International SUDAAN,Analytical or scientific software,FALSE
RV Damage Repair Estimator,Data base user interface and query software,FALSE
RVR Systems Compliance,Compliance software,FALSE
Rabbit Semiconductor Dynamic C,Compiler and decompiler software,FALSE
RabbitMQ,Object or component oriented development software,FALSE
Rad Pro Calculator,Analytical or scientific software,FALSE
Radar,Analytical or scientific software,FALSE
Radiant Systems CounterPoint,Enterprise resource planning ERP software,FALSE
Radiation dose calculation,Medical software,FALSE
Radiation therapy equipment,Medical software,FALSE
Radio Beacon WMS,Materials requirements planning logistics and supply chain software,FALSE
Radio frequency identification RFID,Inventory management software,FALSE
Radiological assessment display and control system RADACS,Analytical or scientific software,FALSE
Radiology information systems (RIS),Medical software,FALSE
Radiopharmacy inventory databases,Medical software,FALSE
Radius NetMan,Industrial control software,FALSE
Radius Uni-View,Industrial control software,FALSE
Rail Traffic Track Warrant Control,Expert system software,FALSE
RailComm DocYard,Industrial control software,FALSE
RailTech Software Solutions Rail 21 Management,Inventory management software,FALSE
RailTech Software Systems Mars for the 21st Century,Accounting software,FALSE
Railcar inspection management,Facilities management software,FALSE
Railyard inventory,Inventory management software,FALSE
Railyard management software RMS,Data base user interface and query software,FALSE
RamQuest Total Solution,Enterprise resource planning ERP software,FALSE
RamSoft PowerServer RIS/PACS,Medical software,FALSE
Ramesys Hospitality,Facilities management software,FALSE
Rand McNally World Digital Database,Information retrieval or search software,FALSE
Random forest,Analytical or scientific software,FALSE
Raosoft SURVEYWin,Data base user interface and query software,FALSE
Rapid Assessment Tools R.A.T.,Analytical or scientific software,FALSE
Rapid Intake Unison,Computer based training software,FALSE
Rapid Medical Examiners,Data base user interface and query software,FALSE
Rapid application development RAD,Enterprise application integration software,FALSE
Rapid prototyping,Computer aided manufacturing CAM software,FALSE
Rapid-I RapidMiner,Data mining software,FALSE
Rapid7 Nexpose,Transaction security and virus protection software,FALSE
Rapid7,Transaction security and virus protection software,FALSE
Rapide,Object or component oriented development software,FALSE
Rapiscan Threat Image Projection,Computer based training software,FALSE
RasMol,Analytical or scientific software,FALSE
Rasmussen Software Anzio,Network connectivity terminal emulation software,FALSE
Raster graphics editors,Graphics or photo imaging software,FALSE
Rate calculation,Analytical or scientific software,FALSE
Ravenshead Services WriteItNow,Word processing software,FALSE
RazorSync,Data base user interface and query software,FALSE
Re:discovery Software Proficio,Data base user interface and query software,FALSE
ReCrystallize Crystal Reports,Data base reporting software,FALSE
ReServe Interactive,Data base user interface and query software,FALSE
ReSoft WindFarm,Analytical or scientific software,FALSE
React Native,Web platform development software,FALSE
React Redux,Web platform development software,FALSE
Reactor excursion and release analysis program RELAP,Analytical or scientific software,FALSE
ReadSoft,Document management software,FALSE
ReadyTalk,Network conferencing software,FALSE
Real Edge,Financial analysis software,FALSE
Real Estate Assistant REA,Customer relationship management CRM software,FALSE
Real Estate Center Caparate Calculator,Financial analysis software,FALSE
Real Pro,Financial analysis software,FALSE
Real ear measurement REM,Medical software,FALSE
Real estate and tax,Data base user interface and query software,FALSE
Real estate application contract transmission REACT,Financial analysis software,FALSE
Real estate investment analysis,Financial analysis software,FALSE
Real estate listing databases,Data base user interface and query software,FALSE
Real time operating system RTOS,Operating system software,FALSE
RealBenefits Amortization Loan,Financial analysis software,FALSE
RealData Comparative Lease Analysis,Financial analysis software,FALSE
RealData REIA,Analytical or scientific software,FALSE
RealEasyBooks ezREB,Accounting software,FALSE
RealFlow,Graphics or photo imaging software,FALSE
RealPage OneSite,Data base user interface and query software,FALSE
Reality Star ProAGENT Power Series Presentations,Presentation software,FALSE
Realization Streamliner,Project management software,FALSE
Really Simple Syndication RSS,Web page creation and editing software,FALSE
Realm Business Solutions INSIGHT for ARGUS,Financial analysis software,FALSE
Realtors Property Resource RPR,Data base reporting software,FALSE
Realty Tools Toolkit for Market Share,Financial analysis software,FALSE
RealtyStar AgentOffice,Office suite software,FALSE
RealtyStar Real Estate Assistant,Customer relationship management CRM software,FALSE
RebarWin,Data base user interface and query software,FALSE
Recipe cost control,Materials requirements planning logistics and supply chain software,FALSE
Recipe,Data base user interface and query software,FALSE
RecordKeeper Software School RecordKeeper,Enterprise resource planning ERP software,FALSE
Recordkeeping,Data base user interface and query software,FALSE
Records management,Document management software,FALSE
Recovery audit,Financial analysis software,FALSE
Recovery testing,Program testing software,FALSE
RecoveryPlanner RPX,Enterprise resource planning ERP software,FALSE
Recruit Wizard,Human resources software,FALSE
RecruitTrack,Human resources software,FALSE
Recruitment management,Human resources software,FALSE
Recruitpoint.net,Human resources software,FALSE
Red Giant Trapcode Particular,Graphics or photo imaging software,FALSE
Red Hat Ansible Engine,Configuration management software,FALSE
Red Hat Enterprise Linux,Operating system software,TRUE
Red Hat OpenShift,Application server software,TRUE
Red Hat WildFly,Application server software,FALSE
Red Prarie Warehouse Management,Materials requirements planning logistics and supply chain software,FALSE
Red Rock DeltaGraph,Analytical or scientific software,FALSE
Red Sweater MarsEdit,Web page creation and editing software,FALSE
Red Wing Software CenterPoint Accounting for Agriculture,Accounting software,FALSE
RedBerry Logistics,Materials requirements planning logistics and supply chain software,FALSE
RedPrairie DLx Warehouse,Inventory management software,FALSE
RedPrairie E2e,Materials requirements planning logistics and supply chain software,FALSE
RedSky IT Entirety e-Booking,Facilities management software,FALSE
Redgate SQL Server,Administration software,FALSE
Redi Enterprise Development Redi ERM,Financial analysis software,FALSE
Rediker Software School Office Suite,Enterprise resource planning ERP software,FALSE
Redmine,Project management software,FALSE
Redrock Software TutorTrac,Data base user interface and query software,FALSE
Redtail Technology Our Business Online,Customer relationship management CRM software,FALSE
Reference management,Data base user interface and query software,FALSE
"Refugee, Asylum and Parole System RAPS",Data base user interface and query software,FALSE
RegMon,Program testing software,FALSE
Regional Energy Deployment System ReEDS,Analytical or scientific software,FALSE
Register transfer language RTL,Development environment software,FALSE
Regnow Chrysanth Inventory Manager,Inventory management software,FALSE
Regression testing,Program testing software,FALSE
Regulatory agency compliance,Compliance software,FALSE
Regulatory compliance management,Compliance software,FALSE
Regulussoft Route Accounting,Data base user interface and query software,FALSE
Rehab Documentation Company ReDoc Suite,Medical software,FALSE
Reimbursement screening,Medical software,FALSE
Relational database management,Data base management system software,FALSE
Relational database management system RDMS,Data base management system software,FALSE
Relational database,Data base user interface and query software,FALSE
Relative Values for Physicians,Analytical or scientific software,FALSE
Relativity e-Discovery,Data base user interface and query software,FALSE
Relavis CRM Portal,Customer relationship management CRM software,FALSE
Relex FMEA,Analytical or scientific software,FALSE
Relex Weibull,Analytical or scientific software,FALSE
ReliaSoft Alta 6 Pro,Analytical or scientific software,FALSE
ReliaSoft BlockSim,Analytical or scientific software,FALSE
ReliaSoft Prism,Data base user interface and query software,FALSE
ReliaSoft RCM++,Analytical or scientific software,FALSE
ReliaSoft Weibull++ 6,Analytical or scientific software,FALSE
ReliaSoft XFMEA,Analytical or scientific software,FALSE
Reliability analysis,Analytical or scientific software,FALSE
Reliability centered maintenance RCM,Analytical or scientific software,FALSE
Reliability information,Data base user interface and query software,FALSE
Reliass EAGLE,Analytical or scientific software,FALSE
Remedy Interactive iMitigate,Data base user interface and query software,FALSE
Remote access call center,Access software,FALSE
Remote access,Access software,FALSE
Remote authentication dial-in user service RADIUS,Authentication server software,FALSE
Remote control,Desktop communications software,FALSE
Remote deposit capture,Access software,FALSE
Remote desktop control,Access software,FALSE
Remote install server,Network operation system software,FALSE
Remote monitoring,Network monitoring software,FALSE
Remote operated vehicle ROV dive log,Data base user interface and query software,FALSE
Remote sensing,Analytical or scientific software,FALSE
Renaissance MasterCarpenter,Information retrieval or search software,FALSE
Renoise,Music or sound editing software,FALSE
RepairTRAX,Data base user interface and query software,FALSE
RepeatMasker,Analytical or scientific software,FALSE
Report generation,Word processing software,FALSE
Report writing,Word processing software,FALSE
ReporterWorks,Enterprise resource planning ERP software,FALSE
RequireJS,Web platform development software,FALSE
Requirements analysis,Requirements analysis and system architecture software,FALSE
Requirements management,Requirements analysis and system architecture software,FALSE
RescueConnection Software ShelterConntection,Data base user interface and query software,FALSE
Research Spectrum Survent CATI,Data base user interface and query software,FALSE
Reservation,Data base user interface and query software,FALSE
Residential home inspection form,Word processing software,FALSE
Resolve Legislative Compliance Management,Compliance software,FALSE
Resolve Systems Service Management,Data base user interface and query software,FALSE
Resort Data Processing,Facilities management software,FALSE
Resource Edge TalentHook Sphere,Human resources software,FALSE
Resource Ordering and Statusing System ROSS,Project management software,FALSE
Resource and patient management system RPMS patient registration,Data base reporting software,FALSE
Resource and patient management system RPMS scheduling,Calendar and scheduling software,FALSE
ResourceMate Plus,Library software,FALSE
Resources Calculations Incorporated SoftCost,Analytical or scientific software,FALSE
Respondus,Computer based training software,FALSE
Restaurant Manager,Point of sale POS software,FALSE
Restaurant Operations & Management Spreadsheet Library,Spreadsheet software,FALSE
RestaurantPlus PRO,Point of sale POS software,FALSE
Restructured extended executor REXX,Development environment software,FALSE
Results International Systems Artius Suite,Enterprise resource planning ERP software,FALSE
Resume converter,Human resources software,FALSE
Resume extraction and search,Human resources software,FALSE
Resume processing,Human resources software,FALSE
ResumeRobot,Human resources software,FALSE
Retail management,Data base user interface and query software,FALSE
Retail sales,Point of sale POS software,FALSE
Retain Resource Planning,Enterprise resource planning ERP software,FALSE
Retargetable compiler,Compiler and decompiler software,FALSE
Rethink Ed,Computer based training software,FALSE
Retirement planning,Financial analysis software,FALSE
Retrofit Energy Savings Estimation Model RESEM,Analytical or scientific software,FALSE
Reudink Software ZooEasy,Data base user interface and query software,FALSE
Revcad Software Sheet Lightning,Computer aided design CAD software,FALSE
Reveal Systems Truewire,Expert system software,FALSE
Revelwood,Enterprise resource planning ERP software,FALSE
Reverse engineering,Computer aided design CAD software,FALSE
Revised universal soil loss equation RUSLE,Analytical or scientific software,FALSE
Revision control,Configuration management software,FALSE
Reyburn CyberTuner,Analytical or scientific software,FALSE
Rezdy booking,Calendar and scheduling software,FALSE
Rezgo online booking,Calendar and scheduling software,FALSE
Rezopia,Data base user interface and query software,FALSE
RhinoSoft FTP Voyager,Desktop communications software,FALSE
Rhythm Rascal,Music or sound editing software,FALSE
RibbonSoft QCad,Computer aided design CAD software,FALSE
Rice Simulator for ILP Multiprocessors RSIM,Analytical or scientific software,FALSE
Riege Software International Procars,Materials requirements planning logistics and supply chain software,FALSE
Right Reason Technologies RightTrack,Computer based training software,FALSE
Rinda Technologies DIACOM Marine,Analytical or scientific software,FALSE
RiscStation POSSum,Point of sale POS software,FALSE
Risk analysis,Analytical or scientific software,FALSE
Risk assessment,Network security or virtual private network VPN management software,FALSE
Risk management,Risk management data and analysis software,FALSE
RiskMetrics Group WealthBench,Financial analysis software,FALSE
Risoe National Laboratory Wind Atlas Analysis and Application Program WAsP,Analytical or scientific software,FALSE
River Lake Altimetry Product,Data base user interface and query software,FALSE
Riverbed Technology,Administration software,FALSE
Road design,Computer aided design CAD software,FALSE
Roam Devices Roam Marine Monitor Hub,Expert system software,FALSE
Robot Framework,Program testing software,FALSE
RobotWare DieCast,Computer aided manufacturing CAM software,FALSE
Robotic control,Industrial control software,FALSE
Robotic painting,Industrial control software,FALSE
Robotic simulation,Analytical or scientific software,FALSE
Robotic surgery,Medical software,FALSE
Robotic workstation,Industrial control software,FALSE
Robotics Academy ROBOTC,Computer aided design CAD software,FALSE
Robust Software Overseer Suite,Enterprise resource planning ERP software,FALSE
Roche 454 Life Sciences GS Data Analysis,Analytical or scientific software,FALSE
RockWare ArcMap,Map creation software,FALSE
RockWare ChemFlux,Analytical or scientific software,FALSE
RockWare DepthCon2000,Analytical or scientific software,FALSE
RockWare Erupt,Analytical or scientific software,FALSE
RockWare FIRSTPIX,Analytical or scientific software,FALSE
RockWare GRADIX,Analytical or scientific software,FALSE
RockWare GeoTrig,Analytical or scientific software,FALSE
RockWare Geochemist's Workbench GWB,Analytical or scientific software,FALSE
RockWare Grav2Dc,Analytical or scientific software,FALSE
RockWare Jlog,Analytical or scientific software,FALSE
RockWare MODFLOW,Analytical or scientific software,FALSE
RockWare MicroMODEL,Analytical or scientific software,FALSE
RockWare Plan,Analytical or scientific software,FALSE
RockWare Potent,Analytical or scientific software,FALSE
RockWare QuickSyn,Analytical or scientific software,FALSE
RockWare RockPack III,Analytical or scientific software,FALSE
RockWare RockWorks,Geographic information system,FALSE
RockWare SieveGraph,Graphics or photo imaging software,FALSE
RockWare Stratbugs,Data base user interface and query software,FALSE
RockWare VEGO,Analytical or scientific software,FALSE
RockWare Visual STUNT,Analytical or scientific software,FALSE
RockWare WinSism,Analytical or scientific software,FALSE
Rocket/Folio NXT,Desktop publishing software,FALSE
Rockport Integrated Excel Underwriting,Spreadsheet software,FALSE
Rockware CrossLog,Analytical or scientific software,FALSE
Rockwell Automation Arena,Analytical or scientific software,FALSE
Rockwell Automation,Development environment software,FALSE
Rockwell RSLogix,Program testing software,FALSE
Rockwell RSView,Industrial control software,FALSE
Rogers Software Development SuperSalon,Data base user interface and query software,FALSE
Rogue Wave Software IMSL Numerical Libraries,Analytical or scientific software,FALSE
Roof Builder,Computer aided design CAD software,FALSE
Roof Pro Estimate Software Roof Pro,Data base user interface and query software,FALSE
Roof support design,Computer aided design CAD software,FALSE
RoofLogic,Data base user interface and query software,FALSE
Roofing Calculator,Analytical or scientific software,FALSE
Root Systems SPS Process Management,Customer relationship management CRM software,FALSE
Root cause analysis,Analytical or scientific software,FALSE
Root kit detection,Transaction security and virus protection software,FALSE
Rosch Visionary Systems Visionary Allergy Tracker,Medical software,FALSE
RoseRush Services Shelter Pro,Data base user interface and query software,FALSE
Ross Video Xpression,Video creation and editing software,FALSE
RoughDraft,Word processing software,FALSE
Roundabout Delay RODEL,Analytical or scientific software,FALSE
Roundtable Software Advantage Accounting,Accounting software,FALSE
